
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57623       80.93.184.195:8894     ESTABLISHED     10484
  TCP    10.1.81.23:58215       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58218       10.20.39.24:1562       ESTABLISHED     7220
  TCP    10.1.81.23:58255       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:58271       64.233.164.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:58356       10.20.39.24:1562       TIME_WAIT       0
  TCP    10.1.81.23:58359       10.20.39.24:1562       TIME_WAIT       0
  TCP    10.1.81.23:58431       64.233.163.100:443     ESTABLISHED     10484
  TCP    10.1.81.23:58432       64.233.161.95:443      ESTABLISHED     10484
  TCP    10.1.81.23:58433       140.82.121.6:443       TIME_WAIT       0
  TCP    10.1.81.23:58441       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:58442       10.20.39.24:1562       ESTABLISHED     7300
  TCP    10.1.81.23:58444       10.20.39.24:1541       TIME_WAIT       0
  TCP    10.1.81.23:58445       10.20.39.24:1562       ESTABLISHED     7300
  TCP    127.0.0.1:58440        127.0.0.1:48007        TIME_WAIT       0
  TCP    [::1]:48007            [::1]:58447            ESTABLISHED     7300
  TCP    [::1]:58443            [::1]:48007            TIME_WAIT       0
  TCP    [::1]:58446            [::1]:48007            TIME_WAIT       0
  TCP    [::1]:58447            [::1]:48007            ESTABLISHED     1168
