
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.1.81.23:55126       208.115.231.102:443    ESTABLISHED     4228
  TCP    10.1.81.23:55142       40.83.247.108:443      ESTABLISHED     4152
  TCP    10.1.81.23:55173       52.109.89.18:443       CLOSE_WAIT      16220
  TCP    10.1.81.23:55212       108.177.14.188:5228    ESTABLISHED     10484
  TCP    10.1.81.23:55214       10.1.132.16:8009       ESTABLISHED     10484
  TCP    10.1.81.23:57062       149.154.167.99:443     ESTABLISHED     10484
  TCP    10.1.81.23:57129       64.233.161.194:443     ESTABLISHED     10484
  TCP    10.1.81.23:57293       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57304       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57307       93.158.134.91:443      ESTABLISHED     10484
  TCP    10.1.81.23:57310       213.180.193.56:443     ESTABLISHED     10484
  TCP    10.1.81.23:57347       10.20.39.24:1562       ESTABLISHED     16680
  TCP    10.1.81.23:57350       10.20.39.24:1562       ESTABLISHED     16680
  TCP    10.1.81.23:57498       10.20.39.24:1562       ESTABLISHED     8952
  TCP    10.1.81.23:57501       10.20.39.24:1562       ESTABLISHED     8952
  TCP    10.1.81.23:57529       173.194.222.84:443     ESTABLISHED     10484
  TCP    10.1.81.23:57530       64.233.162.94:443      ESTABLISHED     10484
  TCP    10.1.81.23:57531       142.250.74.78:443      ESTABLISHED     10484
  TCP    10.1.81.23:57532       64.233.164.95:443      ESTABLISHED     10484
  TCP    [::1]:48006            [::1]:57549            ESTABLISHED     8952
  TCP    [::1]:57506            [::1]:48006            TIME_WAIT       0
  TCP    [::1]:57549            [::1]:48006            ESTABLISHED     15212
